date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:26:41	465933/465933	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2002:26:40%20GMT	https://jobokello5.wixsite.com/myportfolio	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/myportfolio.html	(from )
05:26:41	445/445	---M--	200	added ('OK')	text/plain	date:Sun,%2026%20Jan%202020%2002:26:41%20GMT	https://jobokello5.wixsite.com/robots.txt		(from )
05:26:41	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202020%2002:26:41%20GMT	https://jobokello5.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/sitemap.xml	(from https://jobokello5.wixsite.com/myportfolio)
05:26:42	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202020%2002:26:42%20GMT	https://jobokello5.wixsite.com/feed.xml	C:/My%20Web%20Sites/portfolio/jobokello5.wixsite.com/feed.xml	(from https://jobokello5.wixsite.com/myportfolio)
05:26:42	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/My%20Web%20Sites/portfolio/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:43	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:43	14805/14805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:44	96533/96533	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b882afd7d21edd02286f165c64f09e30%22	https://static.parastorage.com/services/wix-bolt/1.4817.0/bolt-main/app/bolt-custom-elements.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/services/wix-bolt/1.4817.0/bolt-main/app/bolt-custom-elements.min.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:44	17493/17493	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/My%20Web%20Sites/portfolio/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://jobokello5.wixsite.com/myportfolio)
05:26:45	1496/1496	---M--	200	added ('OK')	image/png	etag:%22fd06220eb90b478b4eabdebfaf6a3455%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/viewer/gallery/link_icon.png	C:/My%20Web%20Sites/portfolio/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/viewer/gallery/link_icon.png	(from https://jobokello5.wixsite.com/myportfolio)
